0.0.0.0:5666,0.0.0.0:*,2797/xinetd
0.0.0.0:3306,0.0.0.0:*,3098/mysqld
0.0.0.0:1004,0.0.0.0:*,2518/rpc.statd
0.0.0.0:111,0.0.0.0:*,2478/portmap
0.0.0.0:22,0.0.0.0:*,2768/sshd
127.0.0.1:631,0.0.0.0:*,2781/cupsd
127.0.0.1:25,0.0.0.0:*,2819/sendmail
:::3690,:::*,2868/svnserve
:::80,:::*,2855/httpd
:::22,:::*,2768/sshd
